sh	depth	sourceId	sourceTerm	typeTerm	relationshipGroup	destinationTerm	pattern
CF	2	192008	Congenital syphilitic hepatomegaly (disorder)	Causative agent (attribute)	0	Treponema pallidum (organism)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	2	192008	Congenital syphilitic hepatomegaly (disorder)	Is a (attribute)	0	Disease (disorder)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	2	192008	Congenital syphilitic hepatomegaly (disorder)	Pathological process (attribute)	0	Infectious process (qualifier value)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	2	192008	Congenital syphilitic hepatomegaly (disorder)	Associated morphology (attribute)	1	Enlargement (morphologic abnormality)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	2	192008	Congenital syphilitic hepatomegaly (disorder)	Finding site (attribute)	1	Entire liver (body structure)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	2	192008	Congenital syphilitic hepatomegaly (disorder)	Occurrence (attribute)	1	Congenital (qualifier value)	['116676008-BS', '116680003-CF', '246075003-OR', '246454002-QV', '363698007-BS', '370135005-QV']
CF	2	58524006	Acute pulmonary histoplasmosis (disorder)	Causative agent (attribute)	0	Histoplasma capsulatum (organism)	['116680003-CF', '246075003-OR', '263502005-QV', '363698007-BS', '370135005-QV']
CF	2	58524006	Acute pulmonary histoplasmosis (disorder)	Clinical course (attribute)	0	Sudden onset AND/OR short duration (qualifier value)	['116680003-CF', '246075003-OR', '263502005-QV', '363698007-BS', '370135005-QV']
CF	2	58524006	Acute pulmonary histoplasmosis (disorder)	Finding site (attribute)	0	Lung structure (body structure)	['116680003-CF', '246075003-OR', '263502005-QV', '363698007-BS', '370135005-QV']
CF	2	58524006	Acute pulmonary histoplasmosis (disorder)	Is a (attribute)	0	Disease (disorder)	['116680003-CF', '246075003-OR', '263502005-QV', '363698007-BS', '370135005-QV']
CF	2	58524006	Acute pulmonary histoplasmosis (disorder)	Pathological process (attribute)	0	Infectious process (qualifier value)	['116680003-CF', '246075003-OR', '263502005-QV', '363698007-BS', '370135005-QV']
